model,auroc_median,f1_median,bal_acc_median,auroc_min,f1_min,bal_acc_min,auroc_max,f1_max,bal_acc_max
cnn_raw,0.9937499999999999,0.8571428571428571,0.9210526315789473,0.7603583426651735,0.18181818181818182,0.541993281075028,1.0,1.0,1.0
gbm_features,0.9980563654033042,0.8936170212765957,0.9319727891156462,0.9127659574468084,0.09090909090909091,0.5238095238095238,1.0,1.0,1.0
