setting,auroc_median,auroc_min,auroc_max,f1_median,f1_min,f1_max
stress_vs_amusement_raw,1.0,0.5045454545454545,1.0,0.8837209302325582,0.17391304347826086,1.0
stress_vs_amusement_subjnorm,1.0,0.6709956709956709,1.0,0.9743589743589743,0.5625,1.0
