setting,auroc_median,auroc_min,auroc_max,f1_median,f1_min,f1_max
all,0.9980563654033042,0.9127659574468084,1.0,0.8936170212765957,0.09090909090909091,1.0
only_hrv,0.9797365754812564,0.7589893100097181,1.0,0.8076923076923077,0.5238095238095238,0.926829268292683
only_eda,0.8833819241982508,0.4805636540330418,1.0,0.5641025641025641,0.0,1.0
only_motion,0.7180851063829787,0.35104166666666664,0.892128279883382,0.509090909090909,0.0,0.7058823529411765
only_temp,0.859375,0.05344995140913507,0.9854423292273237,0.5365853658536586,0.0,0.9545454545454546
drop_hrv,0.9684601113172542,0.5860058309037901,1.0,0.7741935483870968,0.09090909090909091,1.0
drop_eda,0.9833024118738405,0.7998056365403303,1.0,0.8484848484848485,0.5625,1.0
drop_motion,0.9988801791713325,0.9244680851063829,1.0,0.8837209302325582,0.0,1.0
drop_temp,0.9990281827016521,0.848936170212766,1.0,0.8301886792452831,0.5,1.0
