model,auroc_median,f1_median,bal_acc_median,auroc_min,f1_min,bal_acc_min,auroc_max,f1_max,bal_acc_max
cnn_raw,1.0,0.84,0.9183673469387755,0.8309037900874636,0.3076923076923077,0.5733482642777156,1.0,0.975609756097561,0.9897959183673469
gbm_features,0.9980563654033042,0.8936170212765957,0.9319727891156462,0.9127659574468084,0.09090909090909091,0.5238095238095238,1.0,1.0,1.0
